PPT CODE,WEBSTAURANT CODE,WEBSTAURANT DESCRIPTION,COUNT,URL
CH12DEF,301CH12DEF COMBO200,,200,
CH16DEF,301CH16DEF COMBO200,,200,
CH24DEF,301CH24DEF COMBO200,,200,
CH32DEF,301CH32DEF COMBO200,,200,
CH48DEF,301CH48DEF COMBO200,,200,
CH64DEF,301CH64DEF COMBO200,,200,
CH8DEF,301CH8DEF COMBO200,,200,
CITRI-KLEEN,147ORANGPEEL1G,,4,
COFFEE BOX,4857175,,25,
CR,922CHAFSTAND,,1,
CT9,3463310CL,,100,
CTW3,130ALTASTEWH3M,,3000,
DFP,612605070,,50,
DHP,612613245,,100,
DLW626,760DLW626,,1000,
DNR662,760DNR662,,1000,
DPBZIP,130DP9758 1M,,1000,
E502,128YE502 COMBO1M,,1000,
E503,128E503 COMBO500,,500,
E504,128E504 COMBO500,,500,
EMI-REWG5,625CCW5 CL240,,240,
EXPRESSNAP,966UPWIDEB,,6000,
EXPRESSNAP-B,966UPWIDEKFT,,6000,
F6BW,301F6BW,,1000,
FLAGTS,433NHT111,,500,
FLOW15,433JRT15,,12,
FLTW15,433HD15,,12,
FLURRY,433CARRIER4,,300,
FORK,130WFORK,,1000,
FPL,612112045,,50,
G549,286TC54108WH,,24,
GALB,147BL6,,6,
GB,9993119,,1,
GF,485FR3,,1000,
GFB,130HFBK1M,,1000,
GFW,130HFWH1M,,1000,
GKB,130HKBK1M,,1000,
GKW,130HKWH1M,,1000,
GO,146OVENCLN,,4,
GSB,130HSBK1M,,1000,
GSSB,130HSSBK1M,,1000,
GSSW,130HSSWH1M,,1000,
GSW,130HSWH1M,,1000,
GWSP10,130SVSERVSPN,,72,
HF2,22320102,,72,
HOT SAUCE,125PCHOT200,,200,
HOTDOME,500L1020W,,1000,
HOTDOME-BLK,500L1020B,,1000,
HOTLID,760CL316,,1000,
HPL,612101230,,100,
HSOAP,147PEARL 1G,,4,
JB,6906373,,1,
JM,274A401024 WH,,1,
JMS,690MHSH60QC,,1,
JMS-JAW,690H216,,1,
JR006,500CFT,,2400,
JR125,5001TP3X4 1000,,96,
JR161,****,,12,https://www.webstaurantstore.com/lavex-janitorial-1-ply-jumbo-toilet-paper-roll-with-9-diameter-case/5001TPJ.html
JR481,5002FC100,,30,
JR5048,5001RT350N,,12,
JR944,5001RT350B,,12,
K6BW,301K6BW,,1000,
KETCHUP,125PC148,,1000,
KHB12ASYM,760KH12SYMPHCOMBO,,250,
KHB16ASYM,760KH16SYMPHCOMBO,,250,
KHB32ASYM,760KH32SYMPHCOMBO,,250,
KHB8ASYM,760KH8SYMPH COMBO,,250,
KIDSCUP,760CC12C5146,,250,
KNIFE,130WKNIFE,,1000,
L32C,301L32C,,500,
L570,612L527,,500,
L580,612L508,,500,
L590,612L509,,500,
LGC,146GLASSCLN,,4,
LL726,788856499 WH,,500,
LMS,579434,,12,
LW201,127PE409BULK,,500,
MAGICO,147PANPRII1G,,4,
MAR,433R7950,,1000,
MCP5002,5002CPTE,,6,
MEDSHOP,433NHT107HD,,700,
MFP,612FS7800,,50,
MHP,612FS4255,,100,
MITT,167POM17,,2,
MP6WSLVR,346506WH,,150,
MP9WSLVR,346509WH,,120,
MTOOTH,485100MP,,1000,
MXL10,433JRT10,,12,
MXL12,433JRT12,,12,
MXL6,433JRT6,,12,
MXL8,433JRT8,,12,
NSP,57996,,0.1666,
NTS,485RPS1M,,1000,
OPT316,760OPT316,,1000,
OPT316B,760OPT316B,,1000,
P-16,301P16,,1000,
P16,127RD16BULK,,500,
P32,127RD32BULK,,500,
P400,5001N6001,,6000,
P500,966D712MS,,8000,
P570,612P527,,500,
P580,612P558,,500,
P590,612P509S,,500,
P8,127RD8BULK,,500,
PAN,101992016,,6,
PET12BCD,301PET12BCD,,252,
PET16BCD,301PET16BCD,,252,
PET24BCD,301PET24BCD,,126,
PET32BCD,301PET32BCD,,126,
PET35UT1,301PET35UT1,,250,
PET8BCD,301PET8BCD,,252,
PL,127RDTFLBULK,,500,
PL1N,301PL100N,,2500,
PL4N,301PL4N,,2500,
PLMTB10X14,500PMBL,,1000,
PLMTBE10X14,500PMBG,,1000,
PLMTBU10X14,500PMWN,,1000,
PLMTD10X14,500PMDOODLES,,1000,
PLMTG10X14,500PMGR,,1000,
PLMTI10X14,500PMITALY,,1000,
PLMTNAVY10X14,500PMNV,,1000,
PLMTW10X14,500PMECONOMY,,1000,
PTF,1500016,,1000,
QTF,1500200,,1000,
R49LINER,****,,1000,https://www.webstaurantstore.com/bakers-mark-panpal-16-x-24-full-size-quilon-coated-parchment-paper-bun-sheet-pan-liner-sheet-case/433QLINER.html
RC32,105GC60002,,50,
RC36,105GC35161,,100,
RC37,105GC36161,,50,
RCDK20-E,500COLLARBR,,1200,
RE-12,129MCS12B,,150,
RE-24,129MCS24B,,150,
RE-28,129MCS28B,,150,
RE-33,129MCS323CB,,150,
RE-38,129MCS38B,,150,
RE0005,346205WH,,180,
RE0006,346206WH,,180,
